Date,Open,High,Low,Close,Adj Close,Volume
31/12/90,28.34375,28.375,28.21875,28.25,9.650427,1845200
02/01/91,28.21875,28.4375,28.03125,28.03125,9.575699,4150800
03/01/91,28.09375,28.46875,28.0625,28.125,9.607729,5229600
04/01/91,28.1875,28.25,27.96875,28.03125,9.575699,4340400
07/01/91,27.84375,27.96875,27.5,27.5625,9.415575,4757600
08/01/91,27.59375,27.59375,27.1875,27.25,9.308819,6862000
09/01/91,27.4375,27.6875,26.6875,26.71875,9.12734,8312000
10/01/91,26.90625,27.09375,26.8125,27.09375,9.255445,3848000
11/01/91,26.96875,27.0625,26.9375,27.03125,9.234095,2434800
14/01/91,26.71875,26.78125,26.375,26.6875,9.116664,6986000
15/01/91,26.71875,26.9375,26.6875,26.875,9.180717,4672400
16/01/91,26.8125,27.3125,26.65625,27.28125,9.319492,6324000
17/01/91,28.75,29.03125,28.5625,28.9375,9.885282,17321600
18/01/91,28.8125,29.5625,28.71875,29.40625,10.045412,18370000
21/01/91,29.1875,30.03125,29.15625,29.90625,10.216223,8806000
22/01/91,29.84375,29.90625,29.4375,29.5,10.077442,7854800
23/01/91,29.46875,30.03125,29.46875,29.8125,10.184193,8844000
24/01/91,30,30.40625,29.96875,30.25,10.333644,11364800
25/01/91,30.28125,30.65625,30.125,30.65625,10.472419,9764400
28/01/91,30.625,31.25,30.59375,31.0625,10.611197,9913200
29/01/91,31.03125,31.34375,30.75,31.125,10.63255,7796800
30/01/91,31.1875,31.75,31.15625,31.75,10.84606,10097200
31/01/91,31.65625,31.78125,31.5625,31.6875,10.824706,6873200
01/02/91,31.625,31.90625,31.40625,31.71875,10.835374,7676400
04/02/91,31.5625,31.90625,31.40625,31.84375,11.309516,6212400
05/02/91,31.8125,32.125,31.75,32.125,11.409403,8708400
06/02/91,32.03125,32.5,32,32.46875,11.531487,9678400
07/02/91,32.5,32.75,32.09375,32.125,11.409403,10128000
08/02/91,32.21875,32.46875,32.0625,32.375,11.498194,7006800
11/02/91,32.46875,33.125,32.40625,33.09375,11.753457,7461200
12/02/91,32.875,33.46875,32.875,33.1875,11.786757,9489600
13/02/91,33.09375,33.75,33.0625,33.65625,11.953238,7695200
14/02/91,33.71875,34.0625,33.46875,33.75,11.986531,9941600
15/02/91,33.875,34.46875,33.84375,34.34375,12.197409,10955600
19/02/91,34.3125,34.9375,34.25,34.875,12.386086,9112400
20/02/91,34.5625,34.6875,34.46875,34.46875,12.2418,7416800
21/02/91,34.5,34.5625,33.875,33.875,12.030931,6262000
22/02/91,33.90625,34.25,33.15625,33.3125,11.831152,9536400
25/02/91,33.5625,33.78125,33.03125,33.40625,11.864447,7578800
26/02/91,33.1875,33.25,32.4375,32.4375,11.520392,8908400
27/02/91,32.5,32.71875,32.03125,32.71875,11.62028,8164800
28/02/91,32.8125,32.875,31.875,32.1875,11.431602,8634000
01/03/91,32.0625,32.875,32.03125,32.75,11.631375,7432400
04/03/91,32.8125,33.125,32.46875,32.65625,11.598088,4758400
05/03/91,32.65625,33.75,32.46875,33.375,11.853348,9935600
06/03/91,33.59375,33.71875,33.15625,33.21875,11.797855,8124000
07/03/91,33.1875,33.4375,32.90625,33.125,11.764555,4770400
08/03/91,33.28125,33.40625,32.75,32.8125,11.653575,5936000
11/03/91,32.5,32.625,32.1875,32.28125,11.464896,7217600
12/03/91,32.21875,32.3125,31.625,31.75,11.276222,8627200
13/03/91,31.75,32.40625,31.6875,32.28125,11.464896,6017600
14/03/91,32.3125,32.6875,31.625,32.03125,11.376109,7779600
15/03/91,31.9375,31.9375,31.5625,31.65625,11.242931,10766000
18/03/91,31.59375,32.03125,31.5625,31.96875,11.353914,5965200
19/03/91,29.6875,29.75,28.75,28.78125,10.221849,25338400
20/03/91,28.75,28.84375,28.375,28.53125,10.133059,16028400
21/03/91,28.6875,28.75,27.75,27.96875,9.933286,12931200
22/03/91,28,28.15625,27.8125,27.90625,9.91109,11433200
25/03/91,27.96875,28.40625,27.9375,28.375,10.077565,6387600
26/03/91,28.375,28.65625,28.34375,28.46875,10.110859,5503200
27/03/91,28.59375,28.65625,28.125,28.21875,10.022072,6818800
28/03/91,28.5,28.59375,28.21875,28.46875,10.110859,6475200
01/04/91,28.46875,28.5625,27.96875,28.0625,9.96658,5692000
02/04/91,28.125,28.375,27.78125,28.3125,10.055371,9072400
03/04/91,28.34375,28.5625,28.25,28.28125,10.044274,7363600
04/04/91,28.40625,28.6875,28.03125,28.375,10.077565,7753200
05/04/91,28.53125,28.625,28.125,28.15625,9.999876,6080400
08/04/91,28.09375,28.375,28,28.25,10.033172,3860400
09/04/91,28.1875,28.34375,27.75,27.8125,9.877789,5395600
10/04/91,27.84375,27.90625,27.5,27.8125,9.877789,7698800
11/04/91,27.78125,27.96875,27.53125,27.65625,9.822298,8858800
12/04/91,27.75,27.75,27.03125,27.125,9.633623,14222000
15/04/91,27.0625,27.09375,26.40625,26.71875,9.489344,12107200
16/04/91,26.75,27.3125,26.6875,27.3125,9.700209,8346800
17/04/91,27.40625,27.6875,27.3125,27.46875,9.755706,8356000
18/04/91,27.5,27.6875,27.34375,27.4375,9.744608,5855200
19/04/91,27.3125,27.5625,27.25,27.375,9.722409,8437200
22/04/91,27.1875,27.34375,27.03125,27.125,9.633623,6281600
23/04/91,27.25,27.28125,26.96875,27.09375,9.622522,3728400
24/04/91,27.09375,27.21875,27,27.0625,9.611424,5768400
25/04/91,27.09375,27.28125,26.90625,27,9.589224,4485600
26/04/91,27,27.0625,26.8125,26.84375,9.533734,4094000
29/04/91,26.9375,26.96875,26.15625,26.21875,9.311762,7418000
30/04/91,26.375,26.375,25.53125,25.75,9.14528,13152800
01/05/91,25.625,26.125,25.53125,26,9.23407,7776800
02/05/91,25.9375,26.5,25.9375,26.46875,9.400547,6088400
03/05/91,26.375,26.625,25.5,25.90625,9.200774,12892400
06/05/91,25.59375,25.90625,25.59375,25.84375,9.628285,4376000
07/05/91,25.84375,25.875,25.46875,25.46875,9.488574,5144400
08/05/91,25.53125,26,25.4375,25.9375,9.663206,5536000
09/05/91,26.0625,26.46875,26.03125,26.46875,9.861128,6174000
10/05/91,26.46875,26.5,25.75,25.84375,9.628285,5457600
13/05/91,25.90625,26.5,25.8125,26.46875,9.861128,5138400
14/05/91,26.375,26.5625,26.15625,26.5,9.872778,7864800
15/05/91,26.25,26.28125,25.3125,25.6875,9.570068,10705600
16/05/91,25.9375,26.0625,25.75,26.03125,9.698137,5453200
17/05/91,25.90625,26.15625,25.875,25.9375,9.663206,8452400
20/05/91,26.03125,26.0625,25.78125,25.8125,9.616642,3162800
21/05/91,25.90625,26.0625,25.125,25.375,9.45365,6700800
22/05/91,25.5625,26.15625,25.5,26.15625,9.744708,8968400
23/05/91,26.125,26.15625,25.9375,26.15625,9.744708,5525200
24/05/91,26.15625,26.28125,26.125,26.25,9.779639,3820400
28/05/91,26.3125,26.34375,25.90625,26.28125,9.791278,5766800
29/05/91,26.15625,26.15625,25.9375,26.03125,9.698137,6608800
30/05/91,25.90625,26.28125,25.90625,26.09375,9.721424,5716400
31/05/91,26.09375,26.625,25.9375,26.53125,9.884423,7060000
03/06/91,26.5,26.84375,26.4375,26.59375,9.9077,5287200
04/06/91,26.40625,26.5,26.15625,26.25,9.779639,4880400
05/06/91,26.34375,26.375,25.78125,25.8125,9.616642,5948800
06/06/91,25.78125,25.90625,25.5,25.75,9.593359,5416800
07/06/91,25.71875,25.75,25.34375,25.5,9.500218,7041600
10/06/91,25.59375,25.6875,25.53125,25.59375,9.535147,3941200
11/06/91,25.6875,25.875,25.53125,25.5625,9.523501,4547600
12/06/91,25.46875,25.5,25.15625,25.375,9.45365,7518800
13/06/91,25.34375,25.34375,25.03125,25.15625,9.372152,7584400
14/06/91,25.34375,25.40625,24.96875,25.09375,9.348867,9448000
17/06/91,24.90625,25,24.875,24.875,9.267367,652800
18/06/91,24.9375,25.25,24.9375,25.21875,9.395432,6945600
19/06/91,25.0625,25.3125,25,25.25,9.407077,8331200
20/06/91,24.6875,24.8125,24.28125,24.78125,9.232443,16344000
21/06/91,24.8125,25,24.78125,24.90625,9.279012,12577200
24/06/91,24.78125,24.90625,24.5625,24.59375,9.162586,9382400
25/06/91,24.65625,24.90625,24.5625,24.84375,9.255726,6861200
26/06/91,24.78125,24.84375,24.53125,24.65625,9.185871,6804000
27/06/91,24.6875,24.6875,24.34375,24.40625,9.092733,7252400
28/06/91,24.3125,24.4375,24.15625,24.28125,9.046163,7086400
01/07/91,24.40625,24.65625,24.34375,24.59375,9.162586,5378400
02/07/91,24.5625,24.84375,24.53125,24.78125,9.232443,4838400
03/07/91,24.6875,24.71875,24.53125,24.53125,9.139299,3868400
05/07/91,24.53125,24.8125,24.46875,24.65625,9.185871,3140000
08/07/91,24.5,25.125,24.4375,25.125,9.360509,5562000
09/07/91,25.09375,25.21875,24.8125,24.875,9.267367,5046800
10/07/91,24.96875,25.09375,24.625,24.6875,9.197512,5210000
11/07/91,24.71875,24.75,24.5,24.5625,9.150939,4749200
12/07/91,24.75,24.9375,24.5625,24.84375,9.255726,5621600
15/07/91,24.875,24.96875,24.8125,24.8125,9.24409,3411200
16/07/91,24.875,24.875,24,24.15625,8.999596,8803200
17/07/91,24.0625,24.21875,24.03125,24.0625,8.964666,6188800
18/07/91,24.15625,24.59375,23.90625,24.5625,9.150939,9436800
19/07/91,25,25.21875,24.625,25.125,9.360509,10291600
22/07/91,25.25,25.53125,25.21875,25.5,9.500218,7309600
23/07/91,25.6875,25.75,25.15625,25.15625,9.372152,5252800
